keyword,remarks,
BRGY,Okay whaaat....SUN's OUT AGAIN,
RAIN,,
BRGY,Light Rainfall,
BRGY,No rain. Clear skies,
BRGY,Cloudy Day today,
BRGY,Rain stopped,
RAIN,,
RAIN,,
BRGY,Sunny Day Today,
FLOOD,,
RAIN,"It's too late to sing  Rain, rain, go away  because it's already gone.",
RAIN,,
BRGY,Beautiful weather today. Time to releax. _��_��_��,
BRGY,No rain here,
BRGY,HUMID TONIGHT,
BRGY,Humid Night.,
BRGY,,
RAIN,"Strong Wind, Strong Storm, Stronger than Yesterday!",
RAIN,STRONG RAIN WITH STRONG WIND AND THUNDER,
BRGY,Heavy rain with thunder here in novaliches. _��_��_��,
RAIN,Thunderstorm and Heavy Rain,
BRGY,EBAYANIHAN LAUNCH IN BAUANG,
FIRE,DECLARED FIRE OUT (SIMULATION),
FOREST,,
EVACUATE,REQUEST FOR THE RESCUE OF THE FIVE HOUSEHOLDS THAT REMAIN TRAPPED IN THEIR FLOODED HOMES.,
EARTHQUAKE,EARTHQUAKE,
EARTHQUAKE,EARTHQUAKE,
EARTHQUAKE,EARTHQUAKE,
EARTHQUAKE,EARTHQUAKE,
EARTHQUAKE,EARTHQUAKE,
RAIN,Heavy rains in QC,
BAGYO,THUNDERSTORM HERE WITH VERY STRONG RAINFALL AND WIND,
EARTHQUAKE,EARTHQUAKE,
BRGY,Nationwide earthquake drill happening,
EARTHQUAKE,Earthquake,
ACCIDENT,Accident at under construction buildingin BGC. Team is on the way,
RESCUE,high angle rescue needed at construction site,
HEALTH,medical assistance needed,
FIRE,Fire at 5th Avenue Fort BGC,
FIRE,THERE'S A FIRE IN BGC AFTER EFFECT OF EARTHQUAKE (SIMULATION),
FIRE,Fire at 5th Avenue Fort BGC fire out already,
BRGY,MAYOR CAYETANO GIVING OUT INSTRUCTIONS INCIDENT COMMAND POST (SIMULATION),
RELIEF,NAGSIMULA NG MAGBIGAY NG RELIEF GOODS (SIMULATION),
RELIEF,Relief distribution at Taguig post earthquake,
BRGY,[simulating reporting from eBayanihan]: relief goods looting incident reported,
CRIME,LOOTERS ARRESTED (SIMULATION),
RELIEF,"[simulation] displacement tracking by DSWD for camp management, internally displaced persons at evacuation center",
FLOOD,MARAMI NANG NANGANGAILANGAN NG RELIEF,
BRGY,GOOD WEATHER,
BRGY,HELLO HERE AT SWX,
ACCIDENT,GOOD WEATHER,
ROAD,Ibabayong pag iingat sa mga motorista na maglalakbay papunta sa Ilocos lalo na sa gabi...dahil sa mga gumugong daan lsa bahagi ng santa ilocos sur,
RAIN,rainy day,
ESITE,rainy day,
BRGY,rainy dat,
ESITE,rainy day,
BRGY,,
FLOOD,KNEE HIGJ,
BROWNOUT,No electricity,
RAIN,couldy,
BRGY,rainy day,
BRGY,sunny weather,
BRGY,Sunny Day!,
BRGY,sunny day,
RESCUE,masyadong naguho ang evacuation area,
BROWNOUT,science activity week sa MOA ARENA,
BULKAN,We are enjoying the exhibit here at SMX :) ,
WIND,"Dark skies, a bit windy and chilly. Looks like it's going to rain soon",
EARTHQUAKE,,
RAIN,sudden downpour!!! also super windy,
EARTHQUAKE,Earthquake felt here in Mati City,
RAIN,Heavy rains,
BRGY,flood,
BRGY,flood,
BROWNOUT,i'm in smx pasay,
BROWNOUT,dito ako s smx,
BRGY,Having the time of my life,
BRGY,rainy day ,
BRGY,START OF DAY 4 NSTW,
RAIN,hot weather,
BRGY,SOBRANG INIT...,
BROWNOUT,atomic model,
CRIME,Ang saya sa SMX,
BRGY,COLD,
EARTHQUAKE,Earthquake,
BROWNOUT,brown out!,
BRGY,YOU CAN TRY TO REPORT USING YOUR SMS,
RAIN,rainy,
BRGY,GLOOMY WEATHER,
RAIN,From an ordinary sunny morning to heavy downpour with lightning after 4 hours,
ACCIDENT,may bangaan in Taguig,
ROAD,As of 2:45 P. M.  Light Rain,
BRGY,DOST SCIENCE NATION 2015,
BRGY,,
EARTHQUAKE,#MMSHAKEDRILL TRAFFIC IS SMOOTH SO FAR,
BRGY,Forsc Ink Inc. Earthquake Drill,
RAIN,slight rain,
BRGY,good weather today,
BRGY,lecture on earthquake and earthquake hazards today at the mun. hall-RP(phivolcs representative),
BRGY,At 09:03AM this morning (30 July) I received an infotext from Ateneo remindingus of the Mtro-wide Earthquake Drill at 10:30 AM,
EARTHQUAKE,Ateneo joins the #MMShakeDrill,
EARTHQUAKE,In Katipunan now. MMDA personnel on the ground tasked to stop traffic at the Ateneo Gate 3 intersection during the MM Shake Drill,
EARTHQUAKE,#MMSHAKEDRILL,
EARTHQUAKE,Cars stopped along Katipunan,
EARTHQUAKE,OPEN #MMSHAKEDRILL HAS STARTED,
EARTHQUAKE,People are outside Regis Building #mmshakedrill,
EARTHQUAKE,,
BRGY,#MMSHAKEDRILL STARTED HERE IN ATENEO,
EARTHQUAKE,Mass movement inside Ateneo #mmshakedrill,
EARTHQUAKE,Groups gather in respective evacuation sites in Ateneo #mmshakedrill,
EARTHQUAKE,PEOPLE INSIDE BUILDINGS ALONG KATIPUNAN DID NOT CLEAR OUT OF THE BUILDINGS. SOME JUST,
EARTHQUAKE,#MMSHAKEDRILL TRAFFIC STOPPED.,
BRGY,#MMSHAKEDRILL,
BRGY,Social Good Summit,
ACCIDENT,Two trucks have collision in Sta.Mesa,
EARTHQUAKE,#MMSHAKEDRILL ATENEO IS ROUTING PEOPLE TO OPEN GROUND.,
EARTHQUAKE,#MMSHAKEDRILL TRAFFIC IS BACK TO NORMAL,
BRGY,MMSHAKEDRILL STARTED HERE IN ATENEO,
EARTHQUAKE,SAW PEOPLE DROP COVER AND HOLD IN ATENEO,
EARTHQUAKE,ATENEO LOYOLA SCHOOLS EVACUATES PERSONNEL INSIDE THE BUILDING DURING THE #MMSHAKEDRILL,
EARTHQUAKE,AJHS actively participated at the #MMshakedrill. Occupants of the Bellarmine Hall were brought to the Bellarmine Field. Students followed instructions that were given to them. All evacuated in an orderly manner.,
EARTHQUAKE,Ateneo LS goes back to their building after participating in #MMShakeDrill,
ESITE,MMDA METRO WIDE EARTH QUAKE DRILL,
RAIN,RAIN STARTED,
BRGY,good weather today,
RESCUE,From Project Agos -  One old man almost 2 weeks abandoned of his family. Exact location: Near Mercury Drug JP Rizal ,
BRGY,"clear skies,visible stars,no sign of rain tonight",
CRIME,shooting incident at callaguip paoay.victim dead,
ACCIDENT,Truck and car collision in CP Garcia near Krus na Ligas traffic light. This causes heavy traffic along CP Garcia Avenue,
CRIME,"crime in Sarrat, Ilocos Norte",
RAIN,rainshowers,
EARTHQUAKE,Slight Earthquake,
BRGY,good weather,
RAIN,Heavy rains,
RAIN,light rains,
RAIN,light rains,
BRGY,conduct of training for municipal rescue teams,
RAIN,Heavy Rain,
RAIN,Malakas na pagbuhos ng ulan,
RAIN,very strong rain with very loud thunder,
RAIN,Heavy downpour,
RAIN,Rain,
RAIN,light to moderate rains,
RAIN,,
RAIN,Heavy Rain,
RAIN,Rains,
BROWNOUT,power shortage,
RAIN,rains have stopped,
FLOOD,Amburayan water level 3.5 ,
BROWNOUT,Brouwout,
BROWNOUT,Brownout,
ROAD,Unpassable main and alternate roads (Isolated),
ROAD,"Spillway Road washed-out not passable ( Sitio Riang Brgy Calumbaya, Dolores, Abra)    ",
BRIDGE,overflowing barsa bridge,
BRIDGE,overflowing of quiaoit,
BRIDGE,overflowing of quiaoit,
RAIN,THE RAIN IS SO STRONG,
BAGYO,STRONG RAINS,
RAIN,STOPPED RAINING,
BRGY,flood,
FLOOD,flood,
FLOOD,"flooded 22 barangays, in need of relief goods",
BRGY,Clearer skies but still gloomy,
LANDSLIDE,Isolated due to Landslide / Down Communication / No Power,
BRGY,"#walangpasok �ۢ ILOCOS PROVINCES, BENGUET, ABRA: Classes at ALL LEVELS are suspended on Aug. 24, 2015. | via @DepEd_PH https://twitter.com/govph/status/635445772440477696",
RAIN,"gloomy weather today, with slight rain",
BRGY,no classess today for all levels.,
BROWNOUT,1 week daw na walang kuryente dahil may problema sa NGCP line,
BRGY,Little rain but dark skies #habagat,
BRGY,It's ayt,
BRGY,Here comes the sun.,
BAGYO,bumabagyo,
BRGY,No recent incidences ,
RAIN,STRONG RAINS,
ACCIDENT,"Truck na may kargang mangga, nadisgrasya. Sa paunang bilang, 24 ginagamot ngayon sa ospital, 3 pinangangambahang patay. CDRRMC at iba panng Rescuers, patuloy pa rin ang retrieval operations.",
RAIN,RAIN STARTED,
RAIN,RAIN STARTED WITH BIG DROPLETS,
RAIN,Strong rain! ,
BAGYO,Local weather update,
BRGY,Lightning but no rains,
BRGY,"turnover ceremony of tents from MIRDC,DOST",
EARTHQUAKE,earthquake drill (shake-drill) ,
RAIN,Rain just started now at 6:50 PM,
RAIN,Heavy Rain/Thunderstorm,
FLOOD,di naman ganito dito dati,
FLOOD,Plz extend help po sa Brgy.Sta.Lucia Novaliches QC...along tullahan river..J Abad Santos st ..M.Aquino st Calderon St and Tarraville. Flash flood..chest high..asap,
FLOOD,FLOOD UPDATE: As of 8:29 PM. EDSA Santolan NB. Flood has subsided. All lanes passable. | @MMDA,
BRGY,light rains,
RAIN,light rain,
BRGY,good weather,
EARTHQUAKE,"just finished our shake drill with five other cities; calamba, canlubang, santa rosa, and we san pedro all of laguna",
RAIN,,
RAIN,Strong rain and very loud thunder,
RAIN,Light rainfall compared to awhile ago ,
RAIN,Raining hard!,
RAIN,started raining hard,
BRGY,It's sunny!,
BRGY,"Weather Looks Fine, Sun is Shining bright rhe clouds are covering some areas here in New POrt City Near Resorts World",
BRGY,"Weather Looks Fine, Sun is Shining bright rhe clouds are covering some areas here in New POrt City Near Resorts World",
BRGY,Sunny,
FIRE,Barangay Hall Fire in Tandang Sora,
FIRE,"Fire Incident, requesting for more firefighters",
RAIN,heavy rain,
EARTHQUAKE,There's an earthquke but no damage in the area.,
EARTHQUAKE,there's an earthquake but no damage in the area.,
FIRE,Our village is currently in need of fire fighters.,
FIRE,"apartment 1. kilbourne street visca baybay city leyte, is on fire",
BRGY,Social Good Summit,
BRGY,"There is an on going Conference here @ Resorts World, Manila, Pasay City",
BRGY,"There is an on going Conference here @ Resorts World, Manila, Pasay City",
BRGY,Social Good Summit,
BRGY,Typhoon in Caloocan City,
BRGY,The TAXI got us stuck in EDSA.,
ACCIDENT,vehicle accident,
CRIME,Crime here,
FLOOD,knee high flood ,
FLOOD,typhoon ,
BRGY,Sunny,
BAGYO,information system,
RAIN,Rain,
RAIN,WEATHERE IS GOOD HERE,
RAIN,THE WEATHER IS GOOD HERE,
RAIN,ALL GOOD,
RAIN,HELP,
RAIN,,
RAIN,HANGGANG TUHOD,
RAIN,VERY GLOOMY ATMOSPHERE,
BRGY,Weather is brilliant,
RAIN,started raining hard,
FLOOD,highway flooded due tostrong rains earlier,
RAIN,Rainy here in Cebu,
RAIN,Raining nonstop,
RAIN,Moderate rains,
RAIN,Raining nonstop since last night,
RAIN,"Signal Number 1 in Metro Manila, nonstop raining since this morning",
RAIN,Cloudy weather,
BRGY,Heavy rainfall,
ROAD,"Heavy traffic to farmers , P.Tuazon and Santolan",
EARTHQUAKE,3.0 magnitude shook the town of Surigao del Norte 23hours ago..yesterday before the dawn. ,
BRGY,Cloudy Weather,
BRGY,PDNA training@ Baguio City,
BRGY,moderate to strong winds with no rain,
BAGYO,Situation update,
BRGY,Dark skies with a little bit of rain showers ,
BRGY,Started raining ,
FLOOD,ANKLE HIGH FLOOD,
BRGY,Very foggy,
RAIN,Rain showers ,
BAGYO,SITREP UPDATE TS LANDO EFFECT IN BAUANG LA UNION,
RAIN,,
RAIN,Stormy weather.  Gray skies and rain that never stops, only becomes light for some time and is heavy again.
ROAD,Felled electric post along nat. hiway payocpoc bridge bauang la union,
RAIN,Signal No. 2 in Manila ,
BAGYO,Scattered Rain in Novaliches (Mid - Heavy Rains),
BAGYO,Minor rainfall with strong winds,
RAIN,,
RAIN,"US Navy's Joint Typhoon Warning upgraded Typhoon Lando to Super Typhoon last Saturday, Oct 17, 11pm, (via Rappler)",
RAIN,Light to moderate rain near Congressional Avenue,
RAIN,Moderate rains,
RAIN,moderate rains and wind,
RAIN,"Strong Rainfall, ",
RAIN,Strong Winds & Heavy Rain,
RAIN,Strong winds and heavy rains,
RAIN,Constant rain. Sporadic bursts of rain and gusts of wind,
WIND,Strong winds ,
BAGYO,"To our friends in the North, please send photos  via our eBayanihan Page",
BRGY,Volunteers needed at NDRRMC in Camp Aguinaldo. Please coordinate with Noel at 09175249691,
BRGY,Volunteer by signing up here: https://docs.google.com/a/rappler.com/forms/d/1H1iNr49Qg4JPHYl8pP2UzyXV7v7vb4siV7UbOCWmHRI/viewform,
RAIN,Constant rain,
BAGYO,Moderate-Strong winds and Constant Rain,
BRGY,light rains,
WIND,Moderate to Strong Winds,
BRGY,Strong Winds and Gust,
RAIN,Strong winds and constant rain ,
BRGY,"#walangpasok QUEZON CITY: Classes from preschool to high school are suspended tomorrow (Oct. 19, 2015)",
BRGY,Strong winds and moderate rains,
BRGY,#walangpasok being continuously updated: https://www.facebook.com/ebayanihan.ateneo.edu/posts/699940556808899,
RAIN,Suspension pls,
WIND,Strong winds here in E. Rod cor. Araneta Ave. Plenty of debris across the streets.,
WIND,Suspension pls,
RAIN,,
RAIN,,
RESCUE,https://twitter.com/juansapanatym/status/655571572653076480,
WIND,"The rain and the wind are so strong. It wouldn't be safe for students to go to school tomorrow. Please suspend classes on the College Division as well, Mayor Herbert Bautista. ",
RESCUE,https://twitter.com/r3gin_/status/655611298978226177,
RAIN,Raining haaard,
WIND,"Strong wind and heavy rain here in Cubao, Quezon City",
RAIN,"Strong rains ongoing in Nangka, Marikina",
RAIN,Moderate rains but very strong winds. Branches are flying everywhere.,
WIND,"Mild wind, no precipitation",
BRGY,"To volunteer for Rescue, best to coordinate with NDRRMC. Register at http://digitaleducation.net/drrphilippines/",
WIND,Moderate to strong wind - few tree branches inside varsity hills are falling,
RESCUE,NEED INFORMATION ON: 5 injured in Matalino St. UP Teachers Village https://twitter.com/TomTwitch91/status/655641675285602304,
BRGY,Updated class suspensions can be found here: http://www.gmanetwork.com/news/story/541077/news/nation/class-suspensions-for-sunday-oct-18-and-monday-oct-19 Keep safe everyone!,
FLOOD,,
BROWNOUT,Light to moderate rains. No electricity since 5am this morning,
BRGY,"Rubber boats needed in Gabaldon, Bungabong and Gapan. Coordinate with NDRRMC.",
RESCUE,https://twitter.com/KreepyKamille/status/655659064706265089,
BRGY,Very strong winds,
BRGY,Strong winds but safe,
WIND,Moderate winds ,
RAIN,,
WIND,"Strong winds, light showers, roads remain passable going to Katipunan",
BRGY,"Moderate winds, but no rain.",
WIND,light winds,
FLOOD,Lubog sa baha (reported from Twitter),
FLOOD,Lubog sa baha (reported from Twitter),
FLOOD,"@patricamagno_ Water level continues to rise in Brgy. Santo Cristo, Nueva Ecija. Food supplies are also limited. Please send help #RescuePH https://twitter.com/patriciamagno_/status/655742565086425088",
RESCUE,"@CruzMiscy La Fuente, Sta.Rosa may van na inanod, may tao sa  loob please help. #RescuePH https://twitter.com/CruzMiscy/status/655746102415634432",
RESCUE,"Please send help at Brgy. Isla & Lourdes, Sta. Rosa, Nueva Ecija. Lubog na po kami sa baha... #RescuePH https://twitter.com/yanjtbh/status/655745376658436096",
RESCUE,"@kaateeeth Please send help to Clamonte Extn. Libis Aduas Norte Cabanatuan City, near Nery's Resort. #RescuePH https://twitter.com/kaaateeeth/status/655746681242189824",
RESCUE,Boat capsized in Guimaras with 4 passengers Need help to rescue survivors. https://twitter.com/madoxified/status/655743534436216832,
RESCUE, @Janmac1508: Kids already atop ceiling. Need rescueASAP. @ Libis Aduas Norte Cabanatuan City near Nery's Resort https://twitter.com/NDRRMC_OpCen/status/655745116766937088,
RESCUE,"Water level continues to rise in Brgy. Santo Cristo, Nueva Ecija. Food supplies are also limited. Please send hel https://twitter.com/patriciamagno_/status/655742565086425088",
RESCUE,"#RescuePH #05 Diaz St., Aduas Centro Cabanatuan City, Nueva Ecija the water is already up to neck pls send rescuers https://twitter.com/genniegeronimo/status/655732140026368000",
RESCUE,@superjaypeee: Please go to Jolo San Antonio Nueva Ecija. Some families are stuck and stranded in their houses. Please help them #RescuePH #LandoPH,
RESCUE,kindly help naman po nastranded narin po Family ko dyan Sa ADUAS CANATUAN CITY... Maaksyunan po sana agad :( https://twitter.com/NDRRMC_OpCen/status/655744853343629312,
RESCUE,"Needs rescue Jerome Dulay Aduas Sur, Cabanatuan City, staying in the roof already 09178575814 #RescuePH https://twitter.com/maryeuphrasie/status/655739441546309632",
RESCUE,"Rescue teams also needed in San Josef. May sumisigaw na daw po, nanghihingi ng tulong. Nasa likod sila ng Iglesia. @NDRRMC_OpCen #RescuePH https://twitter.com/sheilatadique/status/655750160736120832",
RESCUE,"#RescuePH Julo purok 4, San Antonio Nueva Ecija. (river side) please rescue people there last contact was made 8:30 pm lines are down https://twitter.com/kkaeustaquio/status/655750118277189632",
RESCUE,"#RescuePH Bonifacio, Cabanatuan City sa may looban, 4 people nakasampa nalang po sa table :( 1 child, 3 adults https://twitter.com/MarielTagaza/status/655743634810126337",
